zip_code,sector,year,quarter,co2_emissions_no_solar_tons,co2_emissions_with_solar_tons,electricity_cost_no_solar_usd,electricity_cost_with_solar_usd
91962,r,2027,4,0,0,0,0
91962,r,2028,1,0,0,0,0
91962,r,2028,2,0,0,0,0
91962,r,2028,3,0,0,0,0
91962,r,2028,4,0,0,0,0
91963,c,2026,1,0,0,0,0
91963,c,2026,2,0,0,0,0
91963,c,2026,3,0,0,0,0
91963,c,2026,4,0,0,0,0
91963,c,2027,1,0,0,0,0
91963,c,2027,2,0,0,0,0
91963,c,2027,3,0,0,0,0
91963,c,2027,4,0,0,0,0
91963,c,2028,1,0,0,0,0
91963,c,2028,2,0,0,0,0
91963,c,2028,3,0,0,0,0
91963,c,2028,4,0,0,0,0
91963,r,2026,1,0,0,0,0
91963,r,2026,2,0,0,0,0
91963,r,2026,3,0,0,0,0
91963,r,2026,4,0,0,0,0
91963,r,2027,1,0,0,0,0
91963,r,2027,2,0,0,0,0
91963,r,2027,3,0,0,0,0
91963,r,2027,4,0,0,0,0
91963,r,2028,1,0,0,0,0
91963,r,2028,2,0,0,0,0
91963,r,2028,3,0,0,0,0
91963,r,2028,4,0,0,0,0
91977,c,2026,1,34942.74,34566.44,223784.3,62865.9
91977,c,2026,2,9194.76,9528.76,63026.8,18514.9
91977,c,2026,3,0,0,0,0
91977,c,2026,4,0,0,0,0
91977,c,2027,1,34662.83,34345.12,209553.01,72072.4
91977,c,2027,2,9620.02,9157.76,61716.32,20291.32
91977,c,2027,3,0,0,0,0
91977,c,2027,4,0,0,0,0
91977,c,2028,1,34440.89,32160.99,240241.33,72092.05
91977,c,2028,2,9245.46,8967.35,67637.72,19559.63
